geoid,geoid20,year,vacant_residential_count,vacant_commercial_count
1400000US06037190302,6037190302,2021,70,7
1400000US06037190303,6037190303,2021,48,5
1400000US06037190401,6037190401,2021,9,7
1400000US06037190402,6037190402,2021,2,1
1400000US06037190510,6037190510,2021,9,9
1400000US06037190520,6037190520,2021,3,5
1400000US06037190701,6037190701,2021,13,52
1400000US06037190702,6037190702,2021,6,24
1400000US06037190801,6037190801,2021,26,7
1400000US06037190802,6037190802,2021,10,11
1400000US06037190901,6037190901,2021,52,9
1400000US06037190902,6037190902,2021,32,3
1400000US06037191000,6037191000,2021,56,55
1400000US06037191110,6037191110,2021,7,9
1400000US06037191120,6037191120,2021,27,9
1400000US06037191201,6037191201,2021,28,23
1400000US06037191203,6037191203,2021,19,11
1400000US06037191204,6037191204,2021,7,0
1400000US06037191301,6037191301,2021,5,7
1400000US06037191302,6037191302,2021,13,12
1400000US06037191410,6037191410,2021,22,11
1400000US06037191420,6037191420,2021,9,3
1400000US06037191500,6037191500,2021,28,6
1400000US06037191610,6037191610,2021,15,3
1400000US06037191620,6037191620,2021,29,15
1400000US06037191710,6037191710,2021,48,6
1400000US06037191720,6037191720,2021,2,2
1400000US06037191810,6037191810,2021,23,15
1400000US06037191820,6037191820,2021,34,15
1400000US06037191901,6037191901,2021,13,65
1400000US06037191902,6037191902,2021,11,8
1400000US06037192001,6037192001,2021,3,14
1400000US06037192002,6037192002,2021,36,34
1400000US06037192300,6037192300,2021,5,4
1400000US06037192410,6037192410,2021,10,1
1400000US06037192420,6037192420,2021,17,12
1400000US06037192510,6037192510,2021,10,4
1400000US06037192520,6037192520,2021,22,15
1400000US06037192610,6037192610,2021,15,14
1400000US06037192620,6037192620,2021,16,9
1400000US06037192700,6037192700,2021,17,5
1400000US06037194101,6037194101,2021,16,0
1400000US06037194102,6037194102,2021,1,0
1400000US06037194200,6037194200,2021,43,5
1400000US06037194300,6037194300,2021,41,0
1400000US06037194401,6037194401,2021,26,24
1400000US06037194402,6037194402,2021,31,17
1400000US06037194500,6037194500,2021,1,14
1400000US06037195100,6037195100,2021,31,4
1400000US06037195201,6037195201,2021,5,1
1400000US06037195202,6037195202,2021,18,3
1400000US06037195300,6037195300,2021,35,10
1400000US06037195400,6037195400,2021,59,5
1400000US06037195500,6037195500,2021,27,4
1400000US06037195600,6037195600,2021,27,15
1400000US06037195710,6037195710,2021,15,4
1400000US06037195720,6037195720,2021,37,9
1400000US06037195802,6037195802,2021,6,2
1400000US06037195803,6037195803,2021,36,1
1400000US06037195804,6037195804,2021,26,2
1400000US06037195901,6037195901,2021,31,5
1400000US06037195902,6037195902,2021,6,0
1400000US06037195903,6037195903,2021,44,0
1400000US06037197200,6037197200,2021,30,9
1400000US06037197300,6037197300,2021,31,4
1400000US06037197410,6037197410,2021,41,1
1400000US06037197420,6037197420,2021,15,9
1400000US06037197500,6037197500,2021,9,9
1400000US06037197600,6037197600,2021,7,1
1400000US06037197700,6037197700,2021,23,2
1400000US06037199001,6037199001,2021,8,7
1400000US06037199002,6037199002,2021,46,38
1400000US06037199110,6037199110,2021,9,1
1400000US06037199120,6037199120,2021,10,1
1400000US06037199201,6037199201,2021,39,3
1400000US06037199202,6037199202,2021,23,0
1400000US06037199300,6037199300,2021,33,1
1400000US06037199400,6037199400,2021,62,2
1400000US06037199700,6037199700,2021,19,9
1400000US06037199801,6037199801,2021,6,5
1400000US06037199802,6037199802,2021,5,4
1400000US06037199900,6037199900,2021,10,7
1400000US06037201110,6037201110,2021,3,0
1400000US06037201120,6037201120,2021,25,1
1400000US06037201200,6037201200,2021,3,8
1400000US06037201301,6037201301,2021,5,1
1400000US06037201302,6037201302,2021,2,0
1400000US06037201401,6037201401,2021,2,0
1400000US06037201402,6037201402,2021,2,4
1400000US06037201501,6037201501,2021,39,1
1400000US06037201503,6037201503,2021,2,0
1400000US06037201504,6037201504,2021,2,0
1400000US06037201601,6037201601,2021,7,0
1400000US06037201602,6037201602,2021,7,2
1400000US06037201700,6037201700,2021,5,1
1400000US06037203100,6037203100,2021,15,2
1400000US06037203200,6037203200,2021,10,0
1400000US06037203300,6037203300,2021,7,4
1400000US06037203500,6037203500,2021,24,9
1400000US06037203601,6037203601,2021,13,0
1400000US06037203602,6037203602,2021,9,0
1400000US06037203710,6037203710,2021,1,1
1400000US06037203720,6037203720,2021,2,2
1400000US06037203800,6037203800,2021,5,0
1400000US06037203900,6037203900,2021,7,0
1400000US06037204110,6037204110,2021,4,0
1400000US06037204120,6037204120,2021,11,2
1400000US06037204200,6037204200,2021,10,1
1400000US06037204300,6037204300,2021,8,3
1400000US06037204410,6037204410,2021,15,1
1400000US06037204420,6037204420,2021,5,2
1400000US06037204600,6037204600,2021,4,1
1400000US06037204700,6037204700,2021,5,4
1400000US06037204810,6037204810,2021,12,2
1400000US06037204820,6037204820,2021,3,0
1400000US06037204910,6037204910,2021,21,1
1400000US06037204920,6037204920,2021,2,14
1400000US06037205110,6037205110,2021,0,5
1400000US06037205120,6037205120,2021,1,33
1400000US06037206010,6037206010,2021,4,11
1400000US06037206020,6037206020,2021,0,7
1400000US06037206050,6037206050,2021,0,16
1400000US06037206051,6037206051,2021,15,82
1400000US06037206052,6037206052,2021,4,20
1400000US06037206053,6037206053,2021,4,2
1400000US06037206054,6037206054,2021,2,1
1400000US06037206201,6037206201,2021,1,21
1400000US06037206202,6037206202,2021,1,39
1400000US06037206301,6037206301,2021,0,22
1400000US06037206302,6037206302,2021,0,8
1400000US06037206303,6037206303,2021,1,71
1400000US06037207101,6037207101,2021,13,6
1400000US06037207102,6037207102,2021,0,15
1400000US06037207103,6037207103,2021,1,28
1400000US06037207303,6037207303,2021,3,354
1400000US06037207304,6037207304,2021,1,101
1400000US06037207305,6037207305,2021,4,406
1400000US06037207306,6037207306,2021,1,26
1400000US06037207307,6037207307,2021,0,8
1400000US06037207308,6037207308,2021,0,7
1400000US06037207400,6037207400,2021,0,15
1400000US06037207501,6037207501,2021,2,8
1400000US06037207502,6037207502,2021,4,185
1400000US06037207711,6037207711,2021,2,627
1400000US06037207712,6037207712,2021,1,368
1400000US06037207901,6037207901,2021,5,29
1400000US06037207902,6037207902,2021,15,101
1400000US06037208001,6037208001,2021,5,2
1400000US06037208002,6037208002,2021,4,2
1400000US06037208301,6037208301,2021,7,0
1400000US06037208302,6037208302,2021,6,11
1400000US06037208401,6037208401,2021,9,4
1400000US06037208402,6037208402,2021,13,7
1400000US06037208501,6037208501,2021,13,2
1400000US06037208502,6037208502,2021,19,56
1400000US06037208610,6037208610,2021,13,4
1400000US06037208620,6037208620,2021,7,0
1400000US06037208710,6037208710,2021,0,7
1400000US06037208720,6037208720,2021,8,3
1400000US06037208801,6037208801,2021,0,4
1400000US06037208802,6037208802,2021,0,122
1400000US06037208902,6037208902,2021,2,10
1400000US06037208903,6037208903,2021,13,43
1400000US06037208904,6037208904,2021,0,0
1400000US06037209103,6037209103,2021,1,1
1400000US06037209104,6037209104,2021,1,0
1400000US06037209105,6037209105,2021,0,13
1400000US06037209106,6037209106,2021,1,35
1400000US06037209201,6037209201,2021,2,57
1400000US06037209202,6037209202,2021,3,82
1400000US06037209300,6037209300,2021,54,16
1400000US06037209401,6037209401,2021,14,27
1400000US06037209402,6037209402,2021,20,26
1400000US06037209403,6037209403,2021,25,24
1400000US06037209510,6037209510,2021,43,21
1400000US06037209520,6037209520,2021,1,17
1400000US06037209810,6037209810,2021,2,15
