geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037119201,6037119201,2021,4294,4222,98.323242
1400000US06037119202,6037119202,2021,4884,4753,97.317772
1400000US06037119310,6037119310,2021,3699,3268,88.348206
1400000US06037119320,6037119320,2021,4597,4092,89.014572
1400000US06037119340,6037119340,2021,3994,3823,95.718575
1400000US06037119341,6037119341,2021,2665,2546,95.534706
1400000US06037119342,6037119342,2021,2884,2814,97.572815
1400000US06037119400,6037119400,2021,5156,5024,97.439873
1400000US06037119700,6037119700,2021,4599,4502,97.890846
1400000US06037119801,6037119801,2021,2577,2477,96.119522
1400000US06037119802,6037119802,2021,3244,3185,98.181259
1400000US06037119900,6037119900,2021,4777,4590,96.085411
1400000US06037120010,6037120010,2021,2570,2480,96.498055
1400000US06037120020,6037120020,2021,3905,3802,97.362358
1400000US06037120030,6037120030,2021,2438,2380,97.621002
1400000US06037120103,6037120103,2021,2992,2817,94.15107
1400000US06037120104,6037120104,2021,2295,2157,93.986931
1400000US06037120105,6037120105,2021,2638,2442,92.570129
1400000US06037120106,6037120106,2021,4327,4112,95.031197
1400000US06037120107,6037120107,2021,4013,3645,90.829803
1400000US06037120108,6037120108,2021,4454,4268,95.823982
1400000US06037120300,6037120300,2021,4834,4536,93.835335
1400000US06037120400,6037120400,2021,5998,5484,91.430473
1400000US06037121010,6037121010,2021,5176,5113,98.782845
1400000US06037121020,6037121020,2021,3569,3360,94.14402
1400000US06037121101,6037121101,2021,3088,2796,90.544044
1400000US06037121102,6037121102,2021,2199,2036,92.58754
1400000US06037121210,6037121210,2021,2920,2713,92.910957
1400000US06037121221,6037121221,2021,2310,2227,96.406929
1400000US06037121222,6037121222,2021,4700,4625,98.404259
1400000US06037121600,6037121600,2021,2707,2576,95.160698
1400000US06037121801,6037121801,2021,3278,3027,92.342896
1400000US06037121802,6037121802,2021,2956,2573,87.043304
1400000US06037121900,6037121900,2021,3474,2861,82.354637
1400000US06037122000,6037122000,2021,4940,4821,97.591095
1400000US06037122120,6037122120,2021,5220,5127,98.218391
1400000US06037122121,6037122121,2021,2804,2594,92.510696
1400000US06037122122,6037122122,2021,2525,2482,98.297028
1400000US06037122200,6037122200,2021,3623,3546,97.874687
1400000US06037122410,6037122410,2021,3485,3195,91.678619
1400000US06037122420,6037122420,2021,5063,4854,95.872009
1400000US06037123010,6037123010,2021,4069,3784,92.995819
1400000US06037123020,6037123020,2021,2742,2606,95.040115
1400000US06037123103,6037123103,2021,3926,3632,92.511459
1400000US06037123104,6037123104,2021,4493,4195,93.367462
1400000US06037123203,6037123203,2021,3056,2835,92.768326
1400000US06037123204,6037123204,2021,3237,3027,93.512512
1400000US06037123205,6037123205,2021,2704,2560,94.674553
1400000US06037123206,6037123206,2021,2266,2151,94.92498
1400000US06037123301,6037123301,2021,4232,3577,84.522682
1400000US06037123303,6037123303,2021,2986,2758,92.364365
1400000US06037123304,6037123304,2021,4467,4262,95.410789
1400000US06037123410,6037123410,2021,3738,3503,93.713219
1400000US06037123420,6037123420,2021,4713,4285,90.918732
1400000US06037123510,6037123510,2021,4911,4692,95.540627
1400000US06037123520,6037123520,2021,2652,2471,93.174965
1400000US06037123601,6037123601,2021,4665,4301,92.197212
1400000US06037123602,6037123602,2021,3379,3027,89.582718
1400000US06037123700,6037123700,2021,4474,4035,90.187752
1400000US06037123800,6037123800,2021,5660,5062,89.434631
1400000US06037123901,6037123901,2021,4125,3937,95.442421
1400000US06037123902,6037123902,2021,2718,2377,87.45401
1400000US06037124000,6037124000,2021,4799,3826,79.724945
1400000US06037124102,6037124102,2021,3518,3159,89.795341
1400000US06037124103,6037124103,2021,1917,1812,94.52269
1400000US06037124104,6037124104,2021,2522,2363,93.69548
1400000US06037124105,6037124105,2021,2367,2233,94.338829
1400000US06037124201,6037124201,2021,3489,3254,93.264549
1400000US06037124203,6037124203,2021,2031,1879,92.515999
1400000US06037124204,6037124204,2021,2042,1781,87.218414
1400000US06037124300,6037124300,2021,2821,2607,92.41404
1400000US06037124400,6037124400,2021,4518,4014,88.84462
1400000US06037124500,6037124500,2021,2813,2523,89.69072
1400000US06037124600,6037124600,2021,2700,2104,77.925926
1400000US06037124700,6037124700,2021,5183,4454,85.934784
1400000US06037124902,6037124902,2021,3269,2800,85.653107
1400000US06037124903,6037124903,2021,3718,3210,86.336739
1400000US06037125101,6037125101,2021,3794,3265,86.056931
1400000US06037125102,6037125102,2021,1760,1416,80.454544
1400000US06037125200,6037125200,2021,3740,3168,84.705879
1400000US06037125310,6037125310,2021,3450,3126,90.608696
