geoid,geoid20,year,denom_total_hh,homeownership_count,homeownership_pct,rentership_count,rentership_pct
1400000US06037120300,6037120300,2021,1424,928,65.168541,496,34.831459
1400000US06037120400,6037120400,2021,2099,728,34.683182,1371,65.316818
1400000US06037121010,6037121010,2021,1258,895,71.144676,363,28.855326
1400000US06037121020,6037121020,2021,1055,623,59.052132,432,40.947868
1400000US06037121101,6037121101,2021,949,374,39.409904,575,60.590096
1400000US06037121102,6037121102,2021,755,485,64.238411,270,35.761589
1400000US06037121210,6037121210,2021,781,515,65.941101,266,34.058899
1400000US06037121221,6037121221,2021,517,406,78.529984,111,21.47002
1400000US06037121222,6037121222,2021,1233,546,44.282238,687,55.717762
1400000US06037121600,6037121600,2021,837,684,81.720428,153,18.27957
1400000US06037121801,6037121801,2021,1118,279,24.955276,839,75.044724
1400000US06037121802,6037121802,2021,708,455,64.265533,253,35.734463
1400000US06037121900,6037121900,2021,1009,451,44.69772,558,55.30228
1400000US06037122000,6037122000,2021,1576,1041,66.053299,535,33.946701
1400000US06037122120,6037122120,2021,1185,668,56.371307,517,43.628693
1400000US06037122121,6037122121,2021,771,316,40.985733,455,59.014267
1400000US06037122122,6037122122,2021,638,157,24.60815,481,75.391853
1400000US06037122200,6037122200,2021,860,438,50.930233,422,49.069767
1400000US06037122410,6037122410,2021,1172,198,16.894197,974,83.105804
1400000US06037122420,6037122420,2021,1340,425,31.716417,915,68.283585
1400000US06037123010,6037123010,2021,1005,332,33.034824,673,66.965172
1400000US06037123020,6037123020,2021,753,438,58.167332,315,41.832668
1400000US06037123103,6037123103,2021,1619,617,38.109943,1002,61.890057
1400000US06037123104,6037123104,2021,1581,550,34.788109,1031,65.211891
1400000US06037123203,6037123203,2021,981,124,12.640163,857,87.35984
1400000US06037123204,6037123204,2021,1016,194,19.094488,822,80.90551
1400000US06037123205,6037123205,2021,764,152,19.895288,612,80.104713
1400000US06037123206,6037123206,2021,792,170,21.464647,622,78.535355
1400000US06037123301,6037123301,2021,1625,679,41.784615,946,58.215385
1400000US06037123303,6037123303,2021,893,294,32.922733,599,67.077271
1400000US06037123304,6037123304,2021,1749,403,23.041739,1346,76.95826
1400000US06037123410,6037123410,2021,1212,263,21.699671,949,78.300331
1400000US06037123420,6037123420,2021,1623,535,32.963646,1088,67.036354
1400000US06037123510,6037123510,2021,1621,352,21.714991,1269,78.285011
1400000US06037123520,6037123520,2021,761,292,38.370564,469,61.629436
1400000US06037123601,6037123601,2021,1897,779,41.064838,1118,58.935162
1400000US06037123602,6037123602,2021,1235,535,43.319839,700,56.680161
1400000US06037123700,6037123700,2021,1672,742,44.377991,930,55.622009
1400000US06037123800,6037123800,2021,2237,1033,46.177917,1204,53.822083
1400000US06037123901,6037123901,2021,1402,502,35.805992,900,64.194008
1400000US06037123902,6037123902,2021,1084,413,38.099632,671,61.900368
1400000US06037124000,6037124000,2021,2113,983,46.521534,1130,53.478466
1400000US06037124102,6037124102,2021,1360,283,20.808823,1077,79.191177
1400000US06037124103,6037124103,2021,570,198,34.736843,372,65.263161
1400000US06037124104,6037124104,2021,1015,146,14.384236,869,85.615761
1400000US06037124105,6037124105,2021,848,142,16.745283,706,83.254715
1400000US06037124201,6037124201,2021,1069,577,53.975677,492,46.024323
1400000US06037124203,6037124203,2021,793,242,30.517023,551,69.482979
1400000US06037124204,6037124204,2021,873,105,12.027492,768,87.972511
1400000US06037124300,6037124300,2021,1210,365,30.165289,845,69.834709
1400000US06037124400,6037124400,2021,1643,500,30.432137,1143,69.567863
1400000US06037124500,6037124500,2021,1218,638,52.380951,580,47.619049
1400000US06037124600,6037124600,2021,1252,428,34.185303,824,65.814697
1400000US06037124700,6037124700,2021,2427,1019,41.985992,1408,58.014008
1400000US06037124902,6037124902,2021,1556,233,14.974293,1323,85.025703
1400000US06037124903,6037124903,2021,1567,355,22.654755,1212,77.345245
1400000US06037125101,6037125101,2021,2032,358,17.618111,1674,82.381889
1400000US06037125102,6037125102,2021,834,367,44.004795,467,55.995205
1400000US06037125200,6037125200,2021,1774,498,28.072153,1276,71.927849
1400000US06037125310,6037125310,2021,1959,279,14.241961,1680,85.758041
1400000US06037125321,6037125321,2021,1382,119,8.6107092,1263,91.38929
1400000US06037125322,6037125322,2021,1359,0,0,1359,100
1400000US06037125402,6037125402,2021,2037,450,22.091311,1587,77.908691
1400000US06037125403,6037125403,2021,1248,68,5.4487181,1180,94.551285
1400000US06037125404,6037125404,2021,1553,0,0,1553,100
1400000US06037125501,6037125501,2021,1609,168,10.441268,1441,89.558731
1400000US06037125502,6037125502,2021,1974,479,24.265451,1495,75.73455
1400000US06037125600,6037125600,2021,1243,618,49.718422,625,50.281578
1400000US06037127102,6037127102,2021,1515,594,39.20792,921,60.79208
1400000US06037127103,6037127103,2021,1215,214,17.613169,1001,82.386833
1400000US06037127104,6037127104,2021,1404,426,30.341881,978,69.658119
1400000US06037127210,6037127210,2021,1879,527,28.046833,1352,71.953163
1400000US06037127220,6037127220,2021,1681,498,29.625223,1183,70.374779
1400000US06037127300,6037127300,2021,1337,485,36.275242,852,63.724758
1400000US06037127400,6037127400,2021,1917,519,27.073553,1398,72.926445
1400000US06037127520,6037127520,2021,1482,52,3.5087719,1430,96.491226
1400000US06037127603,6037127603,2021,918,116,12.636166,802,87.363838
1400000US06037127604,6037127604,2021,1431,176,12.299091,1255,87.700905
1400000US06037127605,6037127605,2021,1182,185,15.651439,997,84.348564
1400000US06037127606,6037127606,2021,1106,360,32.549728,746,67.450272
1400000US06037127711,6037127711,2021,1113,464,41.689129,649,58.310871
1400000US06037127712,6037127712,2021,1540,207,13.441559,1333,86.558441
1400000US06037127803,6037127803,2021,1643,375,22.824102,1268,77.175896
1400000US06037127804,6037127804,2021,1575,376,23.873016,1199,76.126984
1400000US06037127805,6037127805,2021,1241,251,20.225624,990,79.774376
1400000US06037127806,6037127806,2021,1143,268,23.447069,875,76.552933
1400000US06037127910,6037127910,2021,1449,343,23.671497,1106,76.328499
1400000US06037127920,6037127920,2021,1483,604,40.728252,879,59.271748
1400000US06037128101,6037128101,2021,1065,309,29.014084,756,70.985916
1400000US06037128102,6037128102,2021,1557,299,19.203596,1258,80.796402
1400000US06037128210,6037128210,2021,1584,53,3.3459597,1531,96.654037
1400000US06037128220,6037128220,2021,1175,349,29.702127,826,70.297874
1400000US06037128302,6037128302,2021,1488,200,13.44086,1288,86.559143
1400000US06037128303,6037128303,2021,1154,82,7.1057191,1072,92.894279
1400000US06037128400,6037128400,2021,1781,1023,57.43964,758,42.56036
1400000US06037128500,6037128500,2021,2077,893,42.994705,1184,57.005295
1400000US06037128601,6037128601,2021,1673,309,18.469814,1364,81.530182
1400000US06037128602,6037128602,2021,1270,598,47.086613,672,52.913387
1400000US06037128703,6037128703,2021,1598,313,19.586985,1285,80.413017
1400000US06037128704,6037128704,2021,934,548,58.672379,386,41.327621
1400000US06037128801,6037128801,2021,1929,465,24.105755,1464,75.894249
1400000US06037128802,6037128802,2021,1954,658,33.674515,1296,66.325485
1400000US06037128910,6037128910,2021,1846,926,50.162514,920,49.837486
1400000US06037131021,6037131021,2021,1029,197,19.1448,832,80.855202
1400000US06037131022,6037131022,2021,1011,143,14.144411,868,85.855591
1400000US06037131023,6037131023,2021,844,410,48.578197,434,51.421803
1400000US06037131024,6037131024,2021,1002,497,49.6008,505,50.3992
1400000US06037131100,6037131100,2021,1047,928,88.634193,119,11.365808
1400000US06037131200,6037131200,2021,1220,929,76.147537,291,23.852459
1400000US06037131300,6037131300,2021,1186,878,74.030357,308,25.969646
1400000US06037131400,6037131400,2021,1840,845,45.923912,995,54.076088
1400000US06037131600,6037131600,2021,1305,1111,85.134102,194,14.8659
1400000US06037131701,6037131701,2021,1906,930,48.793285,976,51.206715
1400000US06037131702,6037131702,2021,1243,858,69.02655,385,30.973452
1400000US06037131801,6037131801,2021,979,144,14.708886,835,85.291115
1400000US06037131802,6037131802,2021,742,601,80.997307,141,19.002695
1400000US06037131900,6037131900,2021,1361,1040,76.414398,321,23.585598
